title,year,first_pg,last_pg,authors,schools,article_type,volume,issue,abstract,keywords,url,article_url_list_index
The Editor's Page,1993,195,195,Edward W. Ernst,na,NA,82,4,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01073.x,0
Drexel's E4 Program: A Different Professional Experience for Engineering Students and Faculty,1993,196,202,Robert G. Quinn,Department of Electrical and Computer Engineering E4 Project Director Drexel University,NA,82,4,"In 1988, Drexel began a project which involves a comprehensive restructuring of the lower division engineering curriculum. The program provides an early introduction to the central body of knowledge forming the fabric of engineering, the unifying rather than parochial aspects of engineering, experimental methods, the computer as a flexible, powerful professional and intellectual tool, the importance of personal communications skills, and the imperative for continuous, vigorous, life-long learning. The subject matter is organized in four major components replacing and/or integrating material in thirty-seven existing courses in the traditional curriculum. The theme of all activities is a central focus on the students as emerging professional engineers and the faculty as their mentors from the very beginning of their education. To date, 500 students and 50 faculty have participated in the project. Preliminary results of evaluations are encouraging. Retention rates and achievement levels are high. Performance tests indicate that most students develop excellent levels of computer and laboratory skills. Their written and oral presentations demonstrate achievement of superior levels of communication skills. Personal interviews and evaluations indicate that student response is quite positive and they place a high value on faculty participation in a team effort. Both faculty and students indicate that this different experience has given them an insight into the importance and scope of the engineering profession and a sense that its practice can be exciting, rewarding and enjoyable.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01074.x,1
Attributes of Engineering Graduates and Their Impact on Curriculum Design,1993,203,211,D. L. Evans***G. C. Beakley***P. E. Crouch***G. T. Yamaguchi,College of Engineering and Applied Sciences Arizona State University***College of Engineering and Applied Sciences Arizona State University***College of Engineering and Applied Sciences Arizona State University***College of Engineering and Applied Sciences Arizona State University,NA,82,4,"This paper presents the findings of an Engineering Curriculum Task Force of the College of Engineering and Applied Sciences at Arizona State University. The Task Force's charge was to explore changes that would better prepare baccalaureate-level engineers for the practice of their profession in the next decade. The generic data developed in the process used by the Task Force are given here. For example, a set of ten important attributes deemed desirable for newly graduated engineers and produced by education, is presented. Also, the rankings by industry, alumni, students, and faculty, of the relative importance of each of these ten attributes and the performance of new graduates in each, are given. Generic curriculum features necessary for successful generation of these attributes are discussed. Finally, the results of an alumni survey are presented which show the overwhelming support for a broad-based undergraduate program by graduates of all degree programs.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01075.x,2
A Survey of Engineering Education Outside the United States: Implications for the Ideal Engineering Program,1993,212,215,Peter Dorato***Chaouki Abdallah,Department of Electrical and Computer Engineering University of New Mexico***Department of Electrical and Computer Engineering University of New Mexico,NA,82,4,"Undergraduate engineering programs in fourteen countries are surveyed to determine the status of engineering education outside the United States and to analyze the implications for the ideal engineering program of the future here in the United States. The items surveyed include the number of years required to obtain an engineering degree, title of the engineering degree, high school preparation for engineering programs, cost of education, completion rates for engineering degrees, entrance requirements, mathematical requirements, and support for laboratory work. The most notable aspects of engineering education outside the United States are: • Stronger high school preparation and requirements in mathematics and science • Longer period of time required for an engineering degree • Advanced level of mathematics required in engineering programs • Low cost of education It appears that in most countries engineering education is more intense and rigorous than in the United States. In formulating the ideal engineering program of the future we must be sensitive to competing programs in the rest of the world.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01076.x,3
Student/Professor Ethics In Engineering Academia,1993,216,222,Adrian T. Hanson***William McCarthy***Karen Paur,"New Mexico State University Civil, Agricultural, and Geological Engineering***New Mexico State University Civil, Agricultural, and Geological Engineering***New Mexico State University Civil, Agricultural, and Geological Engineering",NA,82,4,"This paper considers the components which constitute a safe, ethical academic environment in which students can explore the intricacies of engineering technology and engineering science. The concerns of the undergraduate and the graduate student are presented and contrasted, from both the perspective of the student and the faculty.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01077.x,4
"The E4 Introductory Engineering Test, Design and Simulation Laboratory",1993,223,226,Robert G. Quinn,Department of Electrical and Computer Engineering E4 Project Director Drexel University,NA,82,4,"At a time when we can least afford it, mastery of experimentation among practicing engineers is fast becoming a lost art. Within the undergraduate engineering curriculum there has been a continuous decrease in emphasis in the study and practice of experimentation over the past several decades. The Introductory Engineering Test, Design and Simulation Laboratory is an important and unique component of the “Enhanced Educational Experience for Engineers,”—Drexel's E4 program—which attempts to reverse this trend in a substantial way. It is based on three premises: that experimentation is a critical and distinguishing element of the profession; that experimental skills require time to develop; and that entering students are interested in laboratory work. Thus it provides early, continuous and significant laboratory experiences for all students regardless of major throughout the freshman and sophomore years. The nature of the program and facilities are based on a perspective which recognizes the rich diversity of engineering experimentation yet emphasizes its common elements. The laboratory facilities and program can be incorporated in most lower-division programs creating the potential for significant improvements in the upper division. The results of our experience since 1989 indicate that the laboratory provides a rich learning environment in which most students achieve or exceed the educational and performance objectives. Equally important, student response is enthusiastic and they have found the laboratory to be a place for them to have a lot of fun becoming engineers!",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01078.x,5
A Case Study in Creative Problem Solving in Engineering Design,1993,227,231,James C. Conwell***George D. Catalano***John E. Beard,Department of Mechanical Engineering Louisiana State University***Department of Mechanical Engineering Louisiana State University***Department of Mechanical Engineering Michigan Technological University,NA,82,4,"The senior design sequence at Louisiana State University is a two semester, design, build and test experience. Groups of two, three or four students work together in a team setting to produce a functioning prototype which meets predetermined design goals. One particular project, which had as its goal the requirement to extend the reach of an occupant confined to a standard sized wheelchair, was used as a mechanism to integrate the development of critical and creative thinking skills necessary to solve technical problems into the undergraduate mechanical engineering curriculum. Special attention was paid to the nature of creativity and exercises were introduced in order to facilitate this historically neglected aspect of engineering education. The result of this effort was a unique wheelchair, which provides the occupant access to shelves located over their head or objects on the floor via an adjustable height seat.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01079.x,6
The Fluid Jetster: A Water-Powered Wheeled Vehicle,1993,232,237,K. Birky***S. Wright***C. Lowe***R. T. Hudspeth***R. B. Guenther,Department of Civil Engineering Oregon State University***Department of Civil Engineering Oregon State University***Department of Civil Engineering Oregon State University***Department of Civil Engineering Oregon State University***Department of Mathematics Oregon State University,NA,82,4,"The fluid jetster is a water-powered, wheeled vehicle designed, constructed, and tested by students in a fluid mechanics course in the Civil Engineering (CE) curriculum at Oregon State University during the junior year. Students design and build a fluid jetster powered solely by water from a reservoir connected to a nozzle and mounted on a wheeled platform. The project includes both theoretical and experimental design requirements. This project provides a significant learning opportunity for students to apply the fundamental principles of fluid mechanics, to compare both Lagrangian and Eulerian dynamics, to work with peers, and to experience the connections between theory and design applications.",na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01080.x,7
The Academic Bookshelf,1993,238,239,na,na,NA,82,4,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01081.x,8
Author Biographies,1993,240,242,na,na,NA,82,4,na,na,https://onlinelibrary.wiley.com/doi/10.1002/j.2168-9830.1993.tb01082.x,9
